GB_GI	GB_accession	Clone_end_name	Chromosome
2316882	B18978.1	F1A10	1
2316883	B18979.1	F21P21	1
2316891	B18987.1	F4L6	1
2316984	B19080.1	F21H16	1
2317024	B19120.1	F2M7	1
2317028	B19124.1	F3A2	1
2317052	B19148.1	F18B9	1
2317060	B19156.1	F20F23	1
2317066	B19162.1	F21M7	1
2317093	B19189.1	F3H24	1
2317095	B19191.1	F4H19	1
2317102	B19198.1	F5O2	1
2317105	B19201.1	F7H20	1
2317116	B19212.1	F8N4	1
2317120	B19216.1	F11F12	1
2317127	B19223.1	F12M22	1
2317130	B19226.1	F13H23	1
2317136	B19232.1	F15D2	1
2317139	B19235.1	F16E3	1
2317140	B19236.1	F16G21	1
2317158	B19254.1	F3E10	1
2317162	B19258.1	F7A2	1
2317202	B19298.1	F27J21	1
2317218	B19314.1	F23D1	1
2317240	B19336.1	F14J9	1
2317241	B19337.1	F19C20	1
2317242	B19338.1	F22F4	1
2317243	B19339.1	F22O13	1
2317244	B19340.1	F5A8	1
2317245	B19341.1	F8K4	1
2394518	B19464.1	F25A2	1
2394582	B19528.1	F25P22	1
2394604	B19550.1	F2I3	1
2394607	B19553.1	F12L10	1
2394611	B19557.1	F19J22	1
2394618	B19564.1	F2F15	1
2394637	B19583.1	F1I14	1
2394639	B19585.1	F27C19	1
2394669	B19615.1	F25B24	1
2394670	B19616.1	F28H16	1
2394672	B19618.1	F28L3	1
2394678	B19624.1	F9H20	1
2394703	B19649.1	F5D14	1
2394707	B19653.1	F5L5	1
2394724	B19670.1	F10F18	1
2394725	B19671.1	F10F18	1
2394728	B19674.1	F18O18	1
2394730	B19676.1	F21M7	1
2394732	B19678.1	F3H24	1
2394733	B19679.1	F3H24	1
2394734	B19680.1	F4H19	1
2394736	B19682.1	F5B18	1
2394737	B19683.1	F5D11	1
2394739	B19685.1	F5H12	1
2394790	B19736.1	F24A13	1
2394791	B19737.1	F24B9	1
2394853	B19799.1	F24A13	1
2394866	B19812.1	F25P11	1
2394880	B19826.1	F28M6	1
2395070	B20016.1	F14G10	1
2395071	B20017.1	F15D2	1
2395291	B20237.1	F28I5	1
2395423	B20369.1	F3K5	1
2395434	B20380.1	F8E23	1
2395598	B20544.1	F12H21	1
2395602	B20548.1	F19J23	1
2395603	B20549.1	F19K11	1
2395611	B20557.1	F6C11	1
2395690	B20636.1	F15D10	1
2395697	B20643.1	F21P10	1
2395718	B20664.1	T4O8	1
2395940	B20886.1	F19C20	1
2396036	B20982.1	F28A15	1
2396167	B21113.1	F7J22	1
2396172	B21118.1	F8E23	1
2396280	B21226.1	F11L24	1
2396299	B21245.1	F6G21	1
2396302	B21248.1	F9B24	1
2396321	B21267.1	F27J21	1
2396415	B21361.1	F5I8	1
2396437	B21383.1	F21D12	1
2396530	B21476.1	F14O15	1
2396531	B21477.1	F15A8	1
2396539	B21485.1	F22F3	1
2396549	B21495.1	F5C1	1
2396557	B21503.1	F13I11	1
2396559	B21505.1	F21F23	1
2396590	B21536.1	F21F23	1
2396656	B21602.1	F1D9	1
2396663	B21609.1	F2F23	1
2396683	B21629.1	F1B1	1
2396706	B21652.1	F5C1	1
2396817	B21763.1	F4F12	1
2396825	B21771.1	F5K12	1
2396834	B21780.1	F6D15	1
2396983	B21929.1	F5K12	1
2397128	B22074.1	F28C23	1
2509536	B23905.1	F17L20	1
3165590	AQ010806.1	F15N8	1
3698726	AQ248643.1	F19C20	1
3698747	AQ248664.1	F13I11	1
3698748	AQ248665.1	F18K9	1
3698751	AQ248668.1	F5I8	1
3698752	AQ248669.1	F6G21	1
3698789	AQ248706.1	T15D22	1
3698914	AQ248831.1	F1D9	1
3699001	AQ248918.1	F17E23	1
3699005	AQ248922.1	F23F3	1
3699019	AQ248936.1	F17E23	1
3699095	AQ249012.1	F26I10	1
3699158	AQ249075	F13A17	1
3699711	AQ249628	F2G9	1
3699800	AQ249717	F12G18	1
3699813	AQ249730	F28H24	1
3699814	AQ249731	F3L5	1
3699839	AQ249756	F8N4	1
3699859	AQ249776	F13A17	1
3699890	AQ249807	F14P9	1
3699891	AQ249808	F15D2	1
3699923	AQ249840	F4N4	1
3699981	AQ249898	F20K24	1
3700116	AQ250033	F6M19	1
3703136	AQ251619	F7F3	1
3703137	AQ251620	F7G15	1
3704156	AQ251090	F18N1	1
3704177	AQ251111	F2B7	1
3704197	AQ251131	F26I18	1
3704220	AQ251154	F15H11	1
3704234	AQ251168	F16N24	1
3704238	AQ251172	F17D15	1
3704352	AQ251286	F20O23	1
3704480	AQ251414	F25E24	1
3704494	AQ251428	F14A13	1
5283627	AL082487	F4P14	1
5283785	AL082645	F5E5	1
5283878	AL082738	F5H2	1
5284654	AL083514	F7B3	1
2089031	B13310.1	F24J2	2
2089068	B13347.1	F14A24	2
2089685	B08564.1	F24K24	2
2090026	B08735.1	F24E24	2
2090046	B08927.1	F4P7	2
2090163	B09043.1	F16I6	2
2090653	B09522.1	F1G18	2
2091900	B10779.1	F16P20	2
2093353	B12232.1	F3K20	2
2093385	B12264.1	F7L14	2
2093698	B12578.1	F22H2	2
2093732	B12612.1	F24F5	2
2093755	B12635.1	F25F4	2
2093843	B12723.1	F2I15	2
2093954	B12822.1	T12H22	2
2094042	B12910.1	T19O12	2
2316365	B18461.1	F15A23	2
2316422	B18518.1	F21C16	2
2316496	B18592.1	F8L18	2
2316497	B18593.1	F8M8	2
2316504	B18600.1	F9G9	2
2316515	B18611.1	F5D13	2
2316690	B18786.1	F2I13	2
2316713	B18809.1	F8B22	2
2316728	B18824.1	F12E8	2
2316986	B19082.1	F21M5	2
2317050	B19146.1	F17J9	2
2317071	B19167.1	F22D19	2
2317078	B19174.1	F22H14	2
2317091	B19187.1	F3F3	2
2317099	B19195.1	F5G12	2
2317132	B19228.1	F13M6	2
2317147	B19243.1	F9O2	2
2394517	B19463.1	F24E21	2
2394674	B19620.1	F28O7	2
2395182	B20128.1	T9F8	2
2395422	B20368.1	F2E15	2
2396160	B21106.1	F2E15	2
2396319	B21265.1	F1O13	2
2396533	B21479.1	F16M24	2
2396752	B21698.1	F16M24	2
2396956	B21902.1	F9D10	2
2397025	B21971.1	F18H2	2
2397119	B22065.1	F25B21	2
2397188	B22134.1	T7E8	2
2397204	B22150.1	T3M16	2
2511277	B25767.1	F16M24	2
2516111	B30145.1	T27E12	2
3166030	AQ010995.1	F15K16	2
3698567	AQ248484.1	T7E8	2
3699023	AQ248940.1	F19L22	2
3700088	AQ250005	T7E8	2
3704125	AQ251059	F14J17	2
3704145	AQ251079	F17L4	2
3704416	AQ251350	F25E18	2
3704497	AQ251431	F14G3	2
5283759	AL082619	F5D13	2
2088884	B13253.1	F22A3	3
2089026	B13305.1	F24G21	3
2089071	B13152.1	F14B24	3
2089305	B08183.1	F15M2	3
2089353	B08231.1	F21H4	3
2089576	B08303.1	F24D23	3
2089580	B08307.1	F24D9	3
2090003	B08885.1	F23P21	3
2090132	B09012.1	F22A3	3
2090221	B09090.1	F7G6	3
2092248	B11129.1	F21F14	3
2092492	B11373.1	F17J8	3
2092992	B11861.1	F24P22	3
2093646	B12526.1	F1A7	3
2093681	B12397.1	F21L12	3
2093728	B12608.1	F24D9	3
2093733	B12613.1	F24F6	3
2093735	B12615.1	F24G6	3
2093736	B12616.1	F24H23	3
2316260	B18356.1	F28I19	3
2316262	B18358.1	F28J7	3
2316406	B18502.1	F16N5	3
2316410	B18506.1	F18F17	3
2316478	B18574.1	F16G10	3
2317022	B19118.1	F2D17	3
2317086	B19182.1	F23O14	3
2394701	B19647.1	F28J7	3
2394808	B19754.1	F26I23	3
2394871	B19817.1	F26I23	3
2395075	B20021.1	F2N23	3
2396067	B21013.1	F18G19	3
2396220	B21166.1	F14I24	3
2396301	B21247.1	F7G7	3
2396532	B21478.1	F16H6	3
2396552	B21498.1	F8K9	3
2396751	B21697.1	F16H6	3
2396812	B21758.1	F3D12	3
2396814	B21760.1	F3G16	3
2396969	B21915.1	F3D12	3
2397003	B21949.1	F7B18	3
2397129	B22075.1	F28D12	3
2511350	B25840.1	F28I14	3
3698753	AQ248670.1	F7G7	3
3700109	AQ250026	F25F1	3
3704103	AQ251037	F16M23	3
3704138	AQ251072	F15D5	3
3704248	AQ251182	F1P3	3
3704249	AQ251183	F2A11	3
3704436	AQ251370	F19K8	3
3704450	AQ251384	F20E15	3
3704504	AQ251438	F14L11	3
5282771	AL081631	F3G7	3
2089040	B13319.1	F23A8	4
2089053	B13332.1	F24K6	4
2089796	B08676.1	T29B2	4
2090005	B08887.1	F2O7	4
2090142	B09022.1	F22C10	4
2090625	B09505.1	F20N4	4
2090768	B09649.1	F25H24	4
2091439	B10155.1	F4F14	4
2091492	B10371.1	F12H17	4
2092462	B11342.1	F25I17	4
2092530	B11411.1	F24O9	4
2093714	B12594.1	F23F14	4
2316405	B18501.1	F16N22	4
2316458	B18554.1	F13H3	4
2316729	B18825.1	F12I11	4
2317108	B19204.1	F8A6	4
2395060	B20006.1	F27O23	4
2395922	B20868.1	T29I20	4
2396169	B21115.1	F7M15	4
2396240	B21186.1	T3H13	4
2396427	B21373.1	T3H13	4
2396551	B21497.1	F7F14	4
2396826	B21772.1	F5K19	4
2397011	B21957.1	F7M8	4
2397017	B21963.1	F8F16	4
2397121	B22067.1	F25G14	4
2511081	B25571.1	F28C22	4
2511123	B25613.1	F28F16	4
3699004	AQ248921.1	F18J3	4
3699226	AQ249143	F3L17	4
3699397	AQ249314	T20P24	4
3703161	AQ250321	T3H13	4
3703498	AQ250432	F8G5	4
5283715	AL082575	F5C5	4
5291372	AL090232	T5H22	4
5291373	AL090233	T5H22	4
2088883	B13252.1	F22A22	5
2089051	B13330.1	F23E20	5
2089572	B08450.1	F24D12	5
2089639	B08516.1	F5C21	5
2089692	B08571.1	F26E15	5
2090128	B08997.1	F22A22	5
2091175	B09893.1	F16K19	5
2091198	B10077.1	F23F12	5
2091262	B09979.1	F7H13	5
2091571	B10451.1	F11O15	5
2091660	B10539.1	F25H16	5
2091927	B10806.1	F12O15	5
2092030	B10908.1	F16K19	5
2092162	B11041.1	F10P11	5
2092551	B11266.1	F11D9	5
2092683	B11562.1	F20A8	5
2092982	B11703.1	F12O15	5
2093108	B11988.1	F23O18	5
2093485	B12364.1	F10F13	5
2093527	B12407.1	F12J19	5
2093667	B12547.1	F20N3	5
2093730	B12610.1	F24F23	5
2093750	B12630.1	F25A23	5
2093875	B12754.1	F4I17	5
2316179	B18275.1	F8M7	5
2316390	B18486.1	F13D16	5
2316481	B18577.1	F16G6	5
2316501	B18597.1	F9D7	5
2317072	B19168.1	F22H20	5
2317220	B19316.1	F28D16	5
2394646	B19592.1	T30G6	5
2394741	B19687.1	F9D7	5
2395573	B20519.1	F15D11	5
2395691	B20637.1	F15D11	5
2395696	B20642.1	F21N3	5
2395699	B20645.1	F3K4	5
2395706	B20652.1	F7F24	5
2396187	B21133.1	F12D4	5
2396248	B21194.1	F27H9	5
2396741	B21687.1	F9K5	5
2396934	B21880.1	F10L20	5
2397024	B21970.1	F18E6	5
2397089	B22035.1	F19F15	5
2397113	B22059.1	F24H24	5
2509018	B23387.1	F28O5	5
2513551	B27585.1	F27F9	5
3000260	B98181.1	F27K23	5
3166699	AQ011454.1	F27K23	5
3699002	AQ248919.1	F18C6	5
3699018	AQ248935.1	F16K19	5
3699020	AQ248937.1	F18C6	5
3699671	AQ249588	F25A23	5
3699759	AQ249676	F25A23	5
3699866	AQ249783	F28O5	5
3700107	AQ250024	F24H24	5
3700115	AQ250032	F6J19	5
3704109	AQ251043	F17B21	5
3704172	AQ251106	F1B8	5
3704241	AQ251175	F1E16	5
3704243	AQ251177	F1I24	5
3704247	AQ251181	F1P19	5
3704409	AQ251343	F25A21	5
3704419	AQ251353	F25E7	5
3704421	AQ251355	F25G5	5
3704496	AQ251430	F14F19	5
5283673	AL082533	F5A24	5
5283736	AL082596	F5C19	5
5285618	AL084478	F8O6	5
5287386	AL086246	F12D22	5
