				   
       Overview of Mutant Gene Symbols for Arabidopsis thaliana
				   
	 This List Excludes Gene Symbols for Cloned Sequences
				   
	    (*) = Change Suggested;  (**) = No Longer Used
				   
	      Updated December 15, 1992; David W. Meinke

___________________________________________________________________________
Mutant
Symbol     Full Descriptive Name for Gene Symbol     Reference Laboratory
fus 1      Jurgens/Muller          =    emb 168    Meinke
fus 6      Jurgens/Muller          =    emb 78     Castle and Meinke
gn         Jurgens                 =    emb 30     Meinke
sup        Bowman and Meyerowitz   =    flo 10     Haughn 
wav 5      Okada and Shimura       =    aux 1      Maher
wav 6      Okada and Shimura       =    agr 1      Maher

______________________________________________________________________________

Other Synonyms:
__________________

chl 4    =   rgn
chl 6    =   cnx
cnx      =   chl 6
csr 1    =   imr
fad 4    =   fad A
fad 5    =   fad B
fad 6    =   fad C
fad 7    =   fad D
imr      =   csr 1
rgn      =   chl 4
_____________________________________________________________________________
