Gene Symbol	Full Name of Mutant Gene Symbol	Date	Reference Lab
BIL	BRZ-Insensitive-Long Hypocotyl	9/01	Nakano
BIN	Brassinosteroid insensitive	4/98	Chory
BIO	Biotin auxotroph	YB	Meinke
BLB	Blueberry (Embryo defective)	7/01	Barton
BLO	Bloated (keule like)	7/96	Assad
BLU	Discontinued (allelic to HY)	YB	Hangarter
BMT	Big mitochondria mutant (Altered mitochondrial development)	10/01	Logan
BMU	Button mushroom (Embryo defective)	7/01	Barton
BNS	Bonsai	12/96	Kakutani
BOB	Bobber (Embryo defective; Altered pattern of STM expression)	6/01	Barton
BOD	Both gametophytes defective	10/98	Huelskamp
BON	Bonzai (miniature plant)	10/00	Fink
BOP	Blade on Petiole	< 6/02	Nam
BOR	Requires high [boron]	3/97	Fujiwara
BOS	Botrytis susceptible	6/02	Dietrich
BOT	Botero (short hypocotyl)	9/95	Caboche
BOX	b-oxidation; IBA resistant	4/99	Bartel
BP	Brevipedicellus (siliques)	YB	Koornneef
BPS	Bypass (leaf venation defect)	M97	Sieburth
BPY	Bumpy meristem: disorganized SAM	M97	Barton
BRA	Bractea (flowers subtended by bracts)	4/98	Ezhova
BRC	Big root cap	3/97	van der Graaff
BRD	Bromodomain protein (Inhibition by silencing)	5/02	Jorgensen
BRI	Brassinosteroid insensitive	M95	Clouse, Langford
BRL	BRI1-like	6/02	Chory
BRP	Broad resistance to Peronospora parasitica	8/00	Van den Ackerveken
BRS	Brassinosteroid insensitive suppressor	3/00	Walker
BRT	Bright fluorescent trichomes	3/98	Chapple
BRU	Brushy (DNA damage hypersensitive)	5/01	Paszkowski
BRX	Brevis radix	5/02	C. Hardtke
BSH	Bushy plants	8/99	Timpte
BST	Bristled (short root hairs)	6/00	Grierson
BTU	Bottoms Up (Enhancer of topless1 double root phenotype	5/01	Meyerowitz
BUD	Bulkhead (organ fusion)	2/97	Lolle, Pruitt
BUK	Buckel; embryo-defective	4/99	Juergens, Mayer
BUM	Discontinued (now STM)	YB	Meeks-Wagner
BUS	Bushy	< 6/02	Palme
BZR	Brassinazole resistant	8/99	Chory
CA	Caespitosa (short stems, bushy plants)	YB	McKelvie, Redei
CAD	Cadmium sensitive	YB	Cobbett
CAF	Carpel factory (floral defective)	7/95	Jacobsen, Meyerowitz
CAI	Carbohydrate insensitive	N96	Graham
CAL	Cauliflower (defective inflorescence)	YB	Bowman, Meyerowitz
CAM	Carbohydrate accumulation mutants	3/95	Chen
CAN	Cytokinin Antagonist Insensitive	4/02	B. Maxwell
CAO	Chaos (pale green)	11/97	Jones
CAP	Capulet (Gametophytic maternel-effect mutant)	< 6/02	Hulskamp
CAR	CaMV resistant	4/95	Howell
CAS	Constitutive allene oxide synthase	5/02	Kubigsteltig, Weiler
CAU	Caulis (suppressor of acl1-2)	YB	Komeda
CBB	Cabbage (extreme dwarfs)	6/95	Altmann
CCA	Circadian clock associated	6/98	Tobin
CCB	Cap cajal body	< 6/02	Shaw
CCH	Conditional chlorina	M97	Brusslan
CCR	Carotenoid and chloroplast regulation	10/01	Pogson
CDO	Chardonnay (abnormal trichomes)	YB	Jurgens, Hulskamp
CDR	Constitutive disease resistance	5/98	Lamb
CDS	Constitutive disease susceptibility	12/98	Lamb
CEL	Callus expression of RBCL	11/95	Kobayashi
CEN	Centipede (short root hairs, some branched)	6/00	Grierson
CEP	Constitutive expression of PR-1	M97	Klessig
CER	Eceriferum (altered surface wax)	YB	Koornnef
CES	Callus expression of RBCS	11/95	Kobayashi
CET	Constitutive expression of thionins	7/98	Hilpert
CFL	COP1-interacting protein 4-like	5/00	Yamamoto
CGL	Complex glycan deficient	YB	Chrispeels
CH	Chlorina (yellow green)	YB	Redei, Koornneef
CHA	Chablis (abnormal trichomes)	YB	Jurgens, Hulskamp
CHB	Chromatin remodeling complex subunit B (Inhibition by silencing)	5/02	Jorgensen
CHC	*Chlorina-costata (pale leaves; green veins) AND Chromatin remodeling complex subunit C	4/98	Ezhova; Jorgensen
CHF	Chromatin remodeling complex subunit F (Inhibition by silencing)	5/02	Jorgensen
CHL	Chlorate resistant	YB	Crawford, Feenstra
CHM	* Chloroplast mutator (Redei, Koorneef) AND Chlorominuta (light green) (Relichova)	YB	Redei, Koornneef / Relichova
CHO	Champignon (embryo lethal)	10/98	Juergens, Mayer
CHP	Chlorophyll mutant	YB	Koornneef
CHR	Chromatin remodeling complex subunit R (Inhibition by silencing)	5/02	Jorgensen
CHS	Chilling sensitive	YB	Hugly, Somerville
CHY	CoA-ester hydrolase	6/99	Bartel
CIA	Chloroplast import apparatus	7/99	Hsou-min Li
CIF	Compact Inflorescence	11/01	Sharrock
CIL	CIA2-Like (Chloroplast protein import defective)	3/01	Hsou-mi Li
CIM	Constitutive immunity	YB	Delaney, Ryals
CIN	Cytokinin insensitive	4/97	Kieber
CIP	COP1-Interacting protein defective	12/99	Yamamoto
CIR	Constitutive induced resistance	2/99	Loake
CIT	Suppressor of Tic	6/02	Jarvis
CKH	Cytokinin hypersensitive	M97	Kakimoto
CKI	Cytokinin independent	N96	Kakimoto
CKR	Cytokinin resistant (allelic to EIN2)	YB	Howell
CLA	Cloroplastos alterados	12/95	Leon, Feldmann
CLCA	Chloride channel	< 6/02	Maurel
CLE	Clavata3/ESR Related (Genes)	1/01	M. Cock (Lyon)
CLF	Curly leaf	N96	Meyerowitz, Coupland
CLG	Coiling (agravitropic)	4/96	Migliaccio, Ferrari
CLM	Clam (compressed rosette, semisterile)	11/95	Richards
CLR	Cytokinin resistant and de-etiolated	12/99	Auer
CLV	Clavata (extra carpels)	YB	Koornneef
CLY	Early flowering	N96	Martinez-Zapater
CMR	Chlorflurenol resistant	YB	Estelle
CMT	Cytosine methyltransferase deficient	1/98	Comai
CN	Convoluta (leaf shape, twisted stem)	YB	Relichova
CO	Late flowering (replaces FG)	YB	Redei, Koornneef
COB	Cobra (root defective)	YB	Benfey
COD	Conehead (organ fusion)	2/97	Lolle, Pruitt
COG	Altered recognition of Peronospora	8/95	Holub, Benyon
COI	Coronatine insensitive	YB	Turner
COL	Columella (gene trap)	9/97	Lindsey
CON	Connected (Cytokinesis defective)	1/99	Somerville, C
COP	Constitutive photomorphogenic	YB	Deng
COR	Corona (organ formation defect)	6/98	
COS	Corolla superia (floral defect)	7/95	Ma
COT	Cotyledon trichomes	4/95	Marks
COV	Continuous vascular ring	M95	Turner, Somerville
COW	Root hair defective	YB	Dolan
CP	* Cupuliformis(Relichova) AND Compacta (Koornneef)	YB	Koornneef
CPC	Caprice (root hair defective)	8/95	Okada
CPD	Constitutive photomorphogenic dwarf	-/96	Koncz
CPH	Cephalopod (hypocotyl defective)	N96	Jurgens
CPK	Knockout of calmodulin domain protein kinase	M97	Sussman
CPR	Constitutive expression of PR genes	4/94	Bowling/Dong
CPS	Constitutive phosphatase secretion	5/98	Deikman
CPT	Complex pattern thickening	M95	Turner, Somerville
CRC	Crabs claw (floral defective)	YB	Smyth
CRD	Chromodomain protein (Inhibition by silencing)	5/02	Jorgensen
CRE	Cytokinin response (cytokinin resistant)	9/00	Kakimoto
CRK	Crooked (abnormal trichomes)	YB	Jurgens, Hulskamp
CRL	Curly (defective leavs, cotyledons)	YB	Medford
CRM	Corymbose inflorescence	YB	Komeda
CRO	Compact rosette	1/99	Micol
CRP	Cryptic Precocious (Semi-dominant enhancer of 35S::FT)	4/01	Kobayashi, Araki
CS	Pale	M95	Furner, Koncz
CSI	Cesium resistant	YB	Sussman
CSL	COP1-interacting protein 7-like	5/00	Yamamoto
CSR	Chlorsulfuron / imidazolinone resistant	YB	Haughn, Somerville
CST	Changed to ASC	5/98	Baum
CTD	Circadian timing defective	6/96	McClung
CTL	Chitinase-like	< 6/02	Ye
CTR	Constitutive triple response	YB	Ecker
CTS	Comatose (germination defective)	8/98	Holdsworth
CU	Curvata (rolled leaf margins)	1/96	Micol
CUC	Cup-shaped cotyledon	7/96	Tasaka
CUD	Cudgel (root defective)	11/94	Benfey
CUE	Discontinued (now PPT)	-	Chory
CUM	Cucumovirus multiplication	9/95	Naito
CUP	Copper sensitive	11/94	Cobbett
CUT	Altered epicuticular wax accumulation	4/97	Millar, Kunst
CVP	Cotyledon vascular pattern	5/98	Keith, Nelson
CYD	Cytokinesis defective	M97	Sack
CYM	Cytokinin metabolism defective	11/96	Auer
CYP	Cytochrome P450 defective	4/96	Winkler
CYR	Cytokinin resistant	3/94	Deikmann
CYT	Cytokinesis defective	5/96	Meinke
CZN	Cu/Zn superoxide dismutase deficient	2/99	Last
DAB	Delayed abscission	2/00	Patterson
DAD	Defective in anther dehiscence	M97	Okada
DAG	Dof Affecting Germination	4/99	Costantino
DAM	Damballa, partial female sterile	9/98	Grossniklaus
DAR	Distorted architecture (meristem defect)	5/98	Larsson
DAS	det2-activation-tagging-suppressor	8/99	Chory
DCT	Dicarboxylate transport defective	YB	Somerville, Ogren
DDM	Decreased DNA methylation	YB	Richards
DDR	DC3::GUS down-regulated	9/01	Rock
DEA	Dentata (Serrated leaf margins)	1/99	Micol
DEC	Defective cytokinesis	4/98	Chua
DED	Deadhead (organ fusion)	9/96	Pruitt, Lolle
DEG	Disturbed extension growth	2/99	Mathur and Chua
DEI	Embryo, hypocotyl defects	M95	Bellini, Caboche
DEL	Depressed expression of RBCL	11/95	Kobayashi
DEN	Denticulata (toothed leaves)	1/99	Micol
DER	Deformed Root Hairs	4/02	C. Ringli
DES	Depressed expression of RBCS	11/95	Kobayashi
DET	De-etiolated	YB	Chory
DEX	Defective in exine patterning	11/96	Makaroff
DFL	Dwarf in Light (Short hypocotyl)	2/01	Matsui, Nakazawa
DGD	Digalactosyl diacylglycerol deficient	M95	Benning
DGE	Defence gene expressers	< 6/02	Castresana
DGG	Degenerate gametophyte	4/00	Golan, Fernandez
DHDPS	Dihydrodipicolinate synthase	< 6/02	Vauterin
DHY	Dominant long hypocotyls	< 6/02	Lee
DIF	Reserved symbol	YB	Dean
DIM	Diminutia (allelic to DWF)	-	Chua
DIP	Disrupted (defective leaves, meristem)	YB	Medford
DIR	Defective in induced resistance	5/96	Cameron
DIS	Distorted trichomes	YB	Feenstra, Koornneef
DLL	Disease-like lesions	1/99	Raina
DMC	Homolog of yeast DMC1	< 6/02	Doutriaux
DMR	Downy mildew resistant	8/00	Van den Ackerveken
DMT	Demeter (Embryo Lethal)	3/01	Fischer
DN	Dentata (broad leaves, late flowering)	YB	Relichova
DND	Defense no death	8/97	Bent
DOC	Dark over-expression of CAB	YB	Chory
DOG	Delay of germination	7/99	Koornneef
DOR	DC3::GUS Overexpression in Roots	9/01	Rock
DOU	Douce - Altered circadian period	11/98	Millar
DOV	Differential development of vascular associated cells (like reticulata)	5/96	Pyke
DPE	Disproportionating enzyme	< 6/02	Smith
DRG	Dragon (ovule defective)	YB	Gasser
DRL	Deformed roots and leaves	YB	Dean
DRM	Domains rearranged methyltransferase	10/99	Jacobsen
DRN	Dornroeschen (Activation tagging; Altered SAM organization)	< 6/02	Werr
DRT	Disease resistant, abnormal trichomes	6/97	Kunkel
DRY	Drought hypersensitive	< 6/02	Valpuesta
DSR	Dark green leaves, stunted roots	YB	Dean
DST	Defective in DST-mediated mRNA degradation	7/00	Green
DSY	Meiosis defective (desynaptic)	3/97	Vizir
DTH	Detach	4/99	Vera
DTR	Detour (Leaf and vein pattern defective)	12/01	Sieburth
DUO	Duo (binuclear pollen)	6/96	Twell, Howden
DVL	Devil	5/02	Walker
DW	Dwarf	YB	Koornneef
DWF	Dwarf, auxin resistant	YB	Mizra, Maher, Feldmann
DWG	Dwarf gigantica	YB	Feldmann
DYA	Dyad (female sterile)	6/98	Siddiqi
DYP	Dyad pollen (Discontinued - See TAM)	4/98	McCormick
EAF	Early flowering	YB	Honma, Huala
EAL	Endodermal-Amyloplast-Less (agravitropic)	11/00	Yamamoto
EAP	Enhancer of AP1	3/95	Irish
EAR	Tentative reservation	3/96	Grbic, Barton
EAT	Early Flowering Activation Tagged (ap2-like)	1/02	Aukerman
EBS	Early bolting short days	N96	Martinez-Zapater
ECL	Early curly leaf (Activation tagging)	< 6/02	Ahn
ECO	Ectopic outgrowth (meristem, leaf)	4/95	Meeks-Wagner
ECR	Discontinued (now RPW)	5/95	S. Somerville, Oliver
EDD	Embryo defective development	1/97	Altmann
EDF	Ethylene Responsive DNA Binding Factor	4/00	Ecker
EDI	Early daylength insensitive	9/97	Koornneef
EDM	Enhanced downy mildew susceptibility	< 6/02	Holub
EDR	Enhanced disease resistance	1/97	Innes
EDS	Enhanced disease susceptibility	N96	Glazebrook, Ausubel
EEL	Enhanced EM Expression During Seed Maturation	5/01	Giraudat
EEN	Enhancer of Ethylene Insensitivity	4/01	Ecker
EEP	Early Extra Petals	4/02	Meyerowitz
EER	Enhanced ethylene response	2/98	Larsen
EES	Enhancer of EIN6	12/99	Ecker
EFE	Escape from exine	8/99	McCormick
EFP	Emotially fragile pollen (blue staining)	8/99	McCormick
EFS	Early flowering in short days	M97	Koornneef
EGS	Ectopic transgene silencing	3/95	Grant, Dehio, Schell
EID	Increased sensitivity to light responses	9/99	Kretsch
EIN	Ethylene insensitive	YB	Ecker
EIR	Ethylene insensitive root	YB	Ecker
EIS	Enhanced insect susceptibility	1/00	Mitchell-Olds
ELA	Enhanced linolenate accumulation	YB	Browse, Somerville
ELF	Early flowering	YB	Meeks-Wagner
ELG	Elongated (hypocotyl)	6/95	Koornneef
ELK	Erecta-like	3/00	Walker
ELL	Extra long lifespan, dwarf	M95	Jang, Sheen
ELO	Elongata ((narrow elongated leaves with long petioles)	1/99	Micol
ELP	Ectopic deposition of lignin in pith	8/98	Ye
ELV	Elvish (root defective)	YB	Scheres
EMB	Embryo defective	YB	Meinke
EMD	Embryo sac defective	6/96	Schneitz
EMF	Embryonic flower	YB	Sung
EMS	Excess Microsporocytes (male sterile, tapetum absent)	12/01	Ma
END	Enhanced de-etiolation	11/98	Whitelam
ENS	Ensalada (meristem, leaf development)	8/95	Meeks-Wagner
EOL	Eto1-like	2/00	Ecker
EOR	Enhancer of rps2	7/97	Kunkel
EPL	Enhancer of Polycomb-like protein (Inhibition by silencing)	5/02	Jorgensen
EPN	Extra pollen nuclei	N96	Dickinson
ER	Erecta	YB	Redei, Koornneef
ERA	Enhanced response to ABA	M95	McCourt
ERB	Enhanced resistance to bact. pathogens	4/94	Bowling, Dong
ERF	Ethylene response factor 1 (gene)	5/98	Ecker
ERG	Erigere (erecta like)	3/98	Davis, Vierstra
ERH	Ectopic root hair	N96	Schneider, Roberts
ERL	Erecta-like (See also ELK)	12/01	Keiko Torii
ERO	Erosa (Rounded leaves with dentate margins)	1/99	Micol
ERR	Enhanced resistance to Ralstonia	< 6/02	Yves
ERS	Ethylene resistant (transgene)	M97	Meyerowitz
ERT	Early trichomes	M97	Poethig
ESA	Enhance sensitivity to avrRpm1	5/99	Dangl
ESC	Escarola (altered leaf morphology)	10/99	Weigel
ESD	Early flowering in short days	YB	Coupland
ESE	Enhanced sensitivity to ethylene	7/98	Ecker
ESI	Elongated, stout internodes	12/98	Whitelam
ESK	Eskimo (freezing tolerant)	M97	Browse
ESL	EIN6-Like	4/01	Ecker
ESM	Epithiospecifier modifier (altered glucosinolate hydrolysis)	1/02	Kliebenstein
ESP	 Espresso - Altered circadian period	11/98	Millar
ESR	Formerly "Enhanced sugar response"; see HSR	11/01	Bevan
ESS	EIN6 Suppressor	12/99	Ecker
ETO	Ethylene overproducer	YB	Ecker
ETR	Ethylene receptor	YB	Bleecker
ETT	Ettin (floral defective)	YB	Roe, Zambryski
EXC	Extra cells (nucellar defect)	M95	Ray
EXI	Exigua (small leaves)	1/96	Micol
EXL	Extracellular Lipase (Gene)	11/00	Preuss
EXO	Exordium (gene trap)	9/97	Lindsey
EXP	Expansin knockout	9/97	Cosgrove
FAB	Fatty acid biosynthesis defective	YB	James, Dooner
FAC	Embryonic factor (zygotic lethals)	2/00	CM Liu
FAD	Fatty acid desaturase deficient	YB	Somerville
FAE	Fatty acid elongation defective	YB	Kunst,  Somerville
FAH	Ferulic acid 5-hydroxylase deficient	YB	Chapple, Somerville
FAR	Far-red impaired response	5/98	Quail
FAS	Fasciated (like clavata)	YB	Furner
FAX	Fewer axillary branches	6/98	Leyser
FB	Discontinued (now GI)	YB	Koornneef
FBI	Far-red and Blue Light Insensitive	7/00	Cashmore
FCA	Late flowering	YB	Koornneef
FD	Late flowering	YB	Koornneef
FDH	Fiddlehead (organ fusion)	YB	Lolle, Sussex
FDI	Factor differentiation instability	YB	Vizir
FDR	Flowering time QTL in RI lines	8/94	Mitchell Olds
FE	Late flowering	YB	Koornneef
FEC	Discontinued (now PLF)	YB	Hensel-Burke, Bleecker
FED	Female gametophytic defective	11/98	Huelskamp
FEM	Gametophytic female sterile	M97	Drews
FER	Feronia, partial female sterile	9/98	Grossniklaus
FEY	Forever young (altered shoot apex)	YB	Medford
FEZ	Fewer Lateral Root Cap Layers	1/01	Scheres
FFC	Yellow first leaves	<6/02	Hoffman
FFO	Fused floral organs	5/97	Meyerowitz
FG	Discontinued (now CO)	YB	Koornneef
FGL	Fingerleaf	1/96	Medford
FHA	Late flowering	YB	Koornneef
FHY	Long hypocotyl in FR light	YB	Harberd, Whitelam
FID	Findling (seedling lethal)	10/98	Juergens, Mayer
FIE	Fertilization independent endosperm	5/95	Fischer
FIF	Flower in flower (similar to ap2)	9/95	Goto
FIL	Filamentous flower	8/95	Okada
FIN	Far-red insensitive	< 6/02	Deng
FIP	Fimbriatus petiolus (fringed petals, sepals)	4/98	Ezhova
FIR	5-fluoroindole resistant	YB	Barczak, Last
FIS	Fertilization independent seed	5/95	Chaudhury
FK	Fackel (embryo defective)	YB	Jurgens
FKD	Forked (Altered vascular patterning in foliar organs)	10/01	Schultz
FKF	Flavin-binding, Kelch repeat, F-box	< 6/02	Bartel
FL	Folliculiformis (like CLV)	YB	Relichova
FLA	Discontinued (now FRI)	YB	Amasino
FLB	Floral abortive	12/94	Howard, Cheung
FLC	Altered flower time, modifier of LD	YB	Amasino, Koornneef
FLF	Late flowering	4/95	Dennis
FLI	Farinelli (Male Sterile)	6/00	Browse
FLK	Flaky pollen (male sterile)	1/00	Yamada
FLO	Floral defective	YB	Haughn
FLP	Four lips (clustered stomata)	8/94	Yang, Sack
FLR	Filiforme (narrow leaves)	1/99	Micol
FLS	Flagellin signaling	< 6/02	Boller
FLU		6/02	Apel
FMA	Forma (cell-wall defective)	3/00	Somerville
FMC	Late flowering (extreme)	YB	McKelvie, Koornneef
FMT	Friendly mitochondria mutant (Altered mitochondrial development)	10/01	Logan
FOG	Flowering of ga1	5/98	Weigel
FON	Floral organ number	2/94	Ma
FOR	Resistant to fluoroorotic acid	2/95	Mourad
FPA	Late flowering	YB	Koornneef
FPF	Flowering promoting factor	< 6/02	Meltzer
FRA	Fragile fiber	< 6/02	Ye
FRC	Furca (trichome mutant)	12/97	Oppenheimer
FRD	Ferric reductase defective	-/94	Guerinot
FRE	Discontinued (now PHYA)	YB	Nagatani
FRI	Frigida (late flowering)	YB	Napp Zinn, Dean
FRL	Frill (petal, sepal defective)	7/00	Hase (JAERI)
FRO	Frostbite (Reduced Expression of COR Genes); Translucent Leaves	3/01	Jian-Kang Zhu
FRS	Freezing sensitive	N96	Martinez-Zapater
FRY	Fiery (Stress sensitive)	< 6/02	Zhu
FS	Fass (embryo defective)	YB	Jurgens
FSG	Female sporogenesis, gametogenesis	8/99	Chun-ming Liu
FSU	FRI suppressor	< 6/02	Lee
FT	Late flowering	YB	Koornneef
FTD	Flowering time defective	2/97	McClung
FTR	Fat root	8/00	Okada
FTS	Late flowering	2/97	Kakutani
FUF	Fully fasciated	YB	Medford
FUL	Fruitful (Alias of AGL8) Siliques fail to elongate	< 6/02	Martienssen
FUN	Fused cotyledon	6/98	Tasaka
FUP	Fructus Parvus (Abnormal silique)	11/99	Martinez-Laborda
FUR	FUdR resistant	YB	Wu, King
FUS	Fusca (anthocyanin in cotyledons)	YB	Muller, Misera, Meinke
FVE	Late flowering	YB	Koornneef
FWA	Late flowering	YB	Koornneef
FY	Late flowering	YB	Koornneef
GA	GA requiring	YB	Koornneef
GAI	GA insensitive	YB	Koornneef
GAR	GA responder (suppressor of GAI)	YB	Wilson, Somerville
GAS	* GA superresponder(Wilson, Somerville) AND GAI suppressor(Harberd)	YB	Wilson, Somerville / Harberd
